Schooling,Life_Expectancy
9.2,58.8
9.5,59.2
9.8,59.5
9.9,59.9
10,59.9
10.1,65
12.5,76.2
13.3,76.6
14.2,76.9
14.2,77.2
14.2,77.5
14.2,77.8
13.6,74.7
14,74.9
14.4,75.1
14.4,75.3
14.4,75.4
9,49.6
9.4,51
10.3,56
11.4,51.1
11.4,51.7
16.8,75.5
17.1,75.7
17.2,75.9
17.3,76
17.3,76.2
12.3,73.5
12.7,73.9
12.7,74.4
12.7,74.4
12.7,74.6
19.5,81.9
19.8,82
20.1,82.3
20.3,82.5
20.4,82.7
15.4,84
15.7,88
15.7,88
15.7,81.1
15.9,81.4
11.7,71.1
11.7,71.6
11.8,71.9
11.9,72.2
12.2,72.5
8.9,69.9
9.4,73
9.9,77
10,71
10,71.4
15.5,73
15.5,72
15.6,71.9
15.7,71.7
15.7,72
15.9,80
16.1,83
16.2,83
16.3,87
16.3,89
12.4,69.5
12.4,69.4
12.5,69.4
12.9,69.8
12.8,70
9.5,58.7
9.8,59.1
10,59.3
10.3,59.5
10.7,59.7
11.4,67.9
11.9,68.3
12.3,68.7
12.6,69.1
12.5,69.4
13.3,76.4
13.4,76.9
13.9,76.8
14.2,77
14.2,77.2
12.3,61.1
12.4,62.2
12.5,63.4
12.6,64.2
12.6,65.1
13.8,73.8
14,74.1
14.2,74.5
14.2,74.7
15.2,74.8
13.9,73.4
14.2,73.7
14.3,73.9
14.4,74.1
14.8,74.3
6.3,57.5
6.7,58.1
7.2,58.6
7.5,59
7.7,59.3
9.3,56.8
9.9,57.4
10.3,58
10.5,58.6
10.6,59.1
12.7,72.5
13.1,72.6
13.2,72.7
13.6,72.8
13.5,73
10.6,66.6
10.7,67
10.7,67.4
10.8,67.8
10.9,68.3
9.7,55.3
10,55.6
10.4,55.9
10.4,56.4
10.4,56.7
15.9,81.2
15.9,81.5
15.9,81.6
15.9,81.8
15.9,82
6.6,49.2
6.8,49.8
7.1,53
7.1,49.9
7.1,58
6.7,51.2
6.7,51.6
7.3,51.8
7.3,52.2
7.3,52.6
15.2,79.1
15.4,79.8
15.5,79.9
15.6,81
16.2,83
12.5,75
12.8,75.2
12.4,75.4
12.7,75.6
13.1,75.8
12.8,73.6
13,74.2
13.2,74.3
13.3,74.4
13.6,74.6
10.5,61.8
10.6,62.2
10.8,62.5
10.9,62.9
11.1,63.2
13.3,78.1
13.4,79
13.6,79.2
13.7,79.4
13.9,79.5
14.2,76.6
14.5,77
14.6,77.1
14.9,77.7
15.1,77.8
14.6,79.5
13.8,79.7
13.8,80
13.8,81
14,83
16.8,79.2
16.9,79.7
18.4,80
18.7,81
19.2,84
5.5,61.3
5.9,61.8
6.3,62.2
6.3,62.7
6.3,63
12.9,72.7
13,73.1
13.1,72.1
13.2,73.4
13.2,73.6
13.1,75
13.2,75.3
13.3,75.5
13.4,76
14,76
12.9,72
13,72
13.2,73
13.2,73
13.2,73.3
9.2,56.1
9.2,56.2
9.2,56.7
9.2,57.4
9.2,57.9
5.1,62.1
5,62.9
16.2,75.6
16.4,76.1
16.5,76.3
16.5,76.9
16.5,77.3
8.1,61.8
8.2,62.6
8.4,63.3
8.4,63.7
8.4,64.2
14.6,69.1
14.7,69.2
14.9,69.4
15,69.6
15.2,69.7
16.8,79.9
16.9,83
17,84
17,87
17,89
16,81.3
16.1,81.7
16.1,81.5
16.2,82
16.2,82.2
12.5,62.3
12.5,62.8
12.5,63.5
12.5,64.6
12.6,65.5
13.3,73.8
13.3,73.9
13.4,74.2
13.5,74.5
13.5,74.5
16.7,81
16.8,85
16.9,86
16.9,86
17,89
10.5,69
10.9,61.2
11.2,61.6
11.5,61.9
11.7,62.1
16.4,83
16.7,85
16.8,84
17.1,86
17.2,88
10.5,77
10.5,71.1
10.6,71.3
10.7,71.4
10.7,71.7
8.3,57.8
8.4,58.1
8.5,58.4
8.5,58.8
8.6,58.1
8.9,56.7
9,57.1
9.1,57.6
9.1,58.1
9.2,58.4
10.2,65.9
10.3,65.6
10.6,65.8
10.3,65.9
10.3,66
8.6,36.3
8.7,62.3
8.9,62.3
9.1,62.7
9.1,63.1
11.5,73.6
11.7,73.9
11.6,74.1
11.6,74.3
11.4,74.5
15.3,74.5
15.4,74.8
15.4,75
15.4,75.5
15.8,75.6
18.4,81.8
18.6,82.1
18.7,82.5
19,82.4
19,82.5
10.4,66.4
10.8,66.8
11.3,67.3
11.5,67.6
11.6,68
12.1,68.1
12.3,68.3
12.6,68.5
12.9,68.7
12.9,68.9
10.4,76
10.4,77
10.5,76
10.3,69.5
10.1,67.9
18.2,86
18.5,84
18.5,85
18.6,81
18.6,81.2
15.7,81.7
15.8,81.8
15.9,81.8
15.9,82.1
16,82.2
16.4,81.8
16.4,82
16.6,82
16.5,82.3
16.3,82.5
12.7,75
12.8,75.2
12.8,75.3
12.8,75.6
12.8,75.8
15.1,83
15.1,82.5
15.3,83.3
15.3,83.5
15.3,83.5
13.2,73.4
13.1,73.6
12.9,73.7
13.1,73.9
13.1,74
14.5,67.8
14.4,68.5
14.7,69.1
15,69.5
15,69.9
11.1,63
11.1,61.2
11.1,62.1
11.1,62.6
11.1,62.9
11.9,65.3
11.9,65.5
11.9,65.7
11.9,65.8
11.9,66.1
16,72.8
15.8,73.6
15.5,73.8
15.4,74.1
16,74.4
13.3,74.9
13.2,75
13.3,75
13.3,74.9
13.3,74.8
10.9,51.1
11,52.3
11,52.2
11.1,52.1
10.8,52.1
9.6,59.7
9.5,62
9.6,67
9.8,61.1
9.9,58.1
16.8,72.4
16.7,72.8
16.5,73
16.4,73
16.5,73.4
13.7,86
13.9,88
13.9,81.1
13.9,81.4
13.9,81.7
10.2,63.3
10.2,63.8
10.2,64.3
10.3,64.7
10.3,65.1
10.2,52.9
10.6,54.1
10.7,55.3
10.7,56.7
10.7,57.6
12.8,74.1
13,74.3
12.9,74.5
12.9,74.6
13,74.8
11.6,76.7
11.8,77.3
12.1,77.6
12.4,77.9
12.7,78.2
7.3,56.5
7.5,56.8
7.7,57.2
8,57.3
8.2,57.8
