Alcohol,Life_Expectancy
0.01,58.8
0.01,59.2
0.01,59.5
0.01,59.9
0.01,59.9
0.01,65
5.28,76.2
5.37,76.6
5.14,76.9
4.76,77.2
4.51,77.5
4.6,77.8
0.45,74.7
0.56,74.9
0.66,75.1
0.53,75.3
0.01,75.4
7.8,49.6
8.06,51
8.24,56
8.1,51.1
8.33,51.7
8.15,75.5
8.11,75.7
8.35,75.9
8.28,76
7.93,76.2
4.23,73.5
4.09,73.9
3.89,74.4
3.79,74.4
3.91,74.6
10.52,81.9
10.3,82
10.03,82.3
9.87,82.5
9.71,82.7
12.1,84
12.04,88
12.26,88
11.82,81.1
12.32,81.4
1.98,71.1
1.98,71.6
0.01,71.9
2.14,72.2
0.01,72.5
0.01,69.9
0.01,73
0.01,77
0.01,71
0.01,71.4
14.44,73
17.31,72
16.35,71.9
14.66,71.7
13.94,72
10.22,80
10.11,83
10.08,83
11.77,87
12.6,89
6.76,69.5
6.64,69.4
6.66,69.4
6.56,69.8
6.58,70
1.33,58.7
1.4,59.1
0.01,59.3
0.01,59.5
0.01,59.7
0.28,67.9
0.23,68.3
0.01,68.7
0.01,69.1
0.01,69.4
4.54,76.4
4.64,76.9
4.61,76.8
4.12,77
4.03,77.2
5.99,61.1
5.76,62.2
0.01,63.4
0.01,64.2
0.01,65.1
7.52,73.8
7.58,74.1
7.55,74.5
7.24,74.7
7.32,74.8
10.8,73.4
10.67,73.7
10.99,73.9
12.06,74.1
12.03,74.3
4.55,57.5
4.51,58.1
4.75,58.6
4.64,59
0.01,59.3
4.16,56.8
4.16,57.4
0.01,58
0.01,58.6
0.01,59.1
4.75,72.5
5.07,72.6
0.01,72.7
0.01,72.8
0.01,73
2.2,66.6
2.12,67
0.01,67.4
0.01,67.8
0.01,68.3
6.15,55.3
6.19,55.6
0.01,55.9
0.01,56.4
0.01,56.7
8.4,81.2
8.2,81.5
8.3,81.6
8.2,81.8
8.1,82
1.67,49.2
1.66,49.8
0.01,53
0.01,49.9
0.01,58
0.5,51.2
0.56,51.6
0.62,51.8
0.64,52.2
0.01,52.6
7.93,79.1
7.26,79.8
6.76,79.9
7.2,81
7.16,83
5.75,75
5.63,75.2
5.74,75.4
5.79,75.6
5.78,75.8
4.28,73.6
4.37,74.2
4.44,74.3
4.41,74.4
4.38,74.6
0.15,61.8
0.12,62.2
0.01,62.5
0.01,62.9
0.01,63.2
3.58,78.1
3.41,79
3.34,79.2
3.42,79.4
3.45,79.5
12.1,76.6
12.19,77
11.49,77.1
12.39,77.7
12.14,77.8
11.32,79.5
10.69,79.7
10.55,80
9.04,81
0.01,83
10.28,79.2
10.47,79.7
9.26,80
9.5,81
9.64,84
0.44,61.3
0.39,61.8
0.52,62.2
0.53,62.7
0.38,63
6.02,72.7
5.91,73.1
5.93,72.1
5.93,73.4
5.92,73.6
3.95,75
3.99,75.3
3.92,75.5
3.77,76
3.82,76
2.36,72
2.37,72
2.48,73
2.42,73
2.52,73.3
9.93,56.1
10.99,56.2
11.89,56.7
10.72,57.4
0.01,57.9
0.61,62.1
0.62,62.9
14.97,75.6
0.01,76.1
0.01,76.3
0.01,76.9
0.01,77.3
1.34,61.8
1.32,62.6
1.84,63.3
1.86,63.7
0.01,64.2
2.25,69.1
0.01,69.2
0.01,69.4
0.01,69.6
0.01,69.7
9.72,79.9
9.81,83
9.24,84
8.97,87
8.8,89
11.7,81.3
11.8,81.7
11.5,81.5
11.1,82
11.5,82.2
8.85,62.3
8.9,62.8
8.3,63.5
8.86,64.6
0.01,65.5
7.24,73.8
8.14,73.9
7.71,74.2
5.91,74.5
6.13,74.5
11.2,81
11.2,85
11.18,86
10.94,86
11.03,89
1.69,69
1.64,61.2
0.01,61.6
0.01,61.9
0.01,62.1
9,83
8.02,85
8.2,84
7.46,86
7.53,88
2.14,77
2.16,71.1
2.02,71.3
1.93,71.4
1.88,71.7
0.2,57.8
0.22,58.1
0.01,58.4
0.01,58.8
0.01,58.1
3.21,56.7
3.57,57.1
0.01,57.6
0.01,58.1
0.01,58.4
7.52,65.9
7.56,65.6
7.57,65.8
7.56,65.9
7.64,66
5.76,36.3
5.68,62.3
5.68,62.3
5.68,62.7
0.01,63.1
3.1,73.6
3.1,73.9
3.11,74.1
3.11,74.3
2.87,74.5
10.78,74.5
11.51,74.8
11.27,75
10.88,75.5
0.01,75.6
8.25,81.8
8.13,82.1
7.81,82.5
7.31,82.4
7.45,82.5
2.77,66.4
3,66.8
3.1,67.3
3.11,67.6
3.07,68
0.08,68.1
0.08,68.3
0.08,68.5
0.09,68.7
0.09,68.9
0.19,76
0.17,77
0.01,76
0.01,69.5
0.01,67.9
11.88,86
11.72,84
11.49,85
10.49,81
10.75,81.2
2.63,81.7
2.67,81.8
2.78,81.8
2.69,82.1
2.62,82.2
6.95,81.8
6.98,82
7.49,82
7.35,82.3
7.56,82.5
3.55,75
3.58,75.2
3.65,75.3
3.79,75.6
3.83,75.8
6.9,83
7.39,82.5
7.39,83.3
7.55,83.5
0.01,83.5
0.51,73.4
0.43,73.6
0.41,73.7
0.4,73.9
0.41,74
6.83,67.8
6.63,68.5
6.82,69.1
6.48,69.5
6.29,69.9
1.73,63
1.8,61.2
1.81,62.1
1.84,62.6
0.01,62.9
0.48,65.3
0.53,65.5
0.01,65.7
0.01,65.8
0.01,66.1
9.8,72.8
10.14,73.6
10.21,73.8
10.37,74.1
