BMI,Life_Expectancy
16.7,58.8
17.2,59.2
17.6,59.5
18.1,59.9
18.6,59.9
19.1,65
54.3,76.2
55.1,76.6
55.8,76.9
56.5,77.2
57.2,77.5
58,77.8
53.9,74.7
55,74.9
56.1,75.1
57.2,75.3
58.4,75.4
2.4,49.6
21,51
21.5,56
22.1,51.1
22.7,51.7
59.8,75.5
6.4,75.7
61,75.9
61.6,76
62.2,76.2
51.2,73.5
51.9,73.9
52.6,74.4
53.3,74.4
54.1,74.6
63.9,81.9
64.4,82
65,82.3
65.5,82.5
66.1,82.7
55.2,84
55.7,88
56.1,88
56.6,81.1
57.1,81.4
48,71.1
48.8,71.6
49.7,71.9
5.6,72.2
51.5,72.5
15.2,69.9
15.8,73
16.4,77
17,71
17.7,71.4
59.3,73
59.9,72
6.5,71.9
61.1,71.7
61.7,72
61.9,80
62.3,83
62.6,83
63,87
63.4,89
47,69.5
47.8,69.4
48.5,69.4
49.3,69.8
5.1,70
23,58.7
23.5,59.1
24.1,59.3
24.6,59.5
25.2,59.7
2.3,67.9
21.1,68.3
21.9,68.7
22.7,69.1
23.6,69.4
53.1,76.4
53.7,76.9
54.2,76.8
54.7,77
55.3,77.2
35.2,61.1
35.7,62.2
36.2,63.4
36.8,64.2
37.3,65.1
52,73.8
52.8,74.1
53.6,74.5
54.5,74.7
55.3,74.8
62.7,73.4
63.3,73.7
63.9,73.9
64.5,74.1
65.1,74.3
16.6,57.5
17.1,58.1
17.7,58.6
18.2,59
18.8,59.3
16.1,56.8
16.6,57.4
17.1,58
17.6,58.6
18.2,59.1
27.5,72.5
28.2,72.6
29,72.7
29.7,72.8
3.5,73
16.4,66.6
17,67
17.6,67.4
18.2,67.8
18.9,68.3
26,55.3
26.6,55.6
27.2,55.9
27.8,56.4
28.4,56.7
64.1,81.2
64.7,81.5
65.3,81.6
65.8,81.8
66.4,82
2.2,49.2
2.7,49.8
21.2,53
21.6,49.9
22.1,58
17.1,51.2
17.5,51.6
17.9,51.8
18.2,52.2
18.7,52.6
6.6,79.1
61.2,79.8
61.8,79.9
62.5,81
63.1,83
28.1,75
29,75.2
3,75.4
3.9,75.6
31.9,75.8
54.2,73.6
55,74.2
55.7,74.3
56.4,74.4
57.2,74.6
21.6,61.8
22.1,62.2
22.6,62.5
23.2,62.9
23.7,63.2
55.5,78.1
56.5,79
57.5,79.2
58.5,79.4
59.5,79.5
6.6,76.6
61.3,77
61.9,77.1
62.5,77.7
63.1,77.8
57.8,79.5
58.3,79.7
58.7,80
59.2,81
59.8,83
57,79.2
57.4,79.7
57.7,80
58.1,81
58.4,84
32.2,61.3
32.7,61.8
33.2,62.2
33.8,62.7
34.4,63
53.6,72.7
54.7,73.1
55.8,72.1
56.8,73.4
57.9,73.6
5.7,75
51.4,75.3
52.1,75.5
52.8,76
53.5,76
52.8,72
53.4,72
54.1,73
54.7,73
55.4,73.3
22.1,56.1
22.6,56.2
23,56.7
23.5,57.4
24,57.9
16,62.1
16.5,62.9
57.6,75.6
58,76.1
58.5,76.3
59,76.9
59.4,77.3
15.6,61.8
16,62.6
16.4,63.3
16.8,63.7
17.2,64.2
58.7,69.1
59.5,69.2
6.2,69.4
61.1,69.6
61.9,69.7
6.2,79.9
6.6,83
61,84
61.4,87
61.7,89
6.1,81.3
6.6,81.7
61.1,81.5
61.6,82
62,82.2
33.5,62.3
34.1,62.8
34.6,63.5
35.2,64.6
35.8,65.5
52,73.8
52.8,73.9
53.6,74.2
54.4,74.5
55.3,74.5
59.9,81
6.4,85
6.9,86
61.4,86
61.9,89
25.5,69
26.1,61.2
26.7,61.6
27.3,61.9
28,62.1
63.7,83
64.3,85
64.9,84
65.4,86
66,88
47.2,77
47.9,71.1
48.6,71.3
49.3,71.4
49.9,71.7
2.8,57.8
21.2,58.1
21.7,58.4
22.2,58.8
22.7,58.1
23.1,56.7
23.7,57.1
24.3,57.6
25,58.1
25.6,58.4
42.4,65.9
43.2,65.6
44.1,65.8
45,65.9
45.9,66
44.2,36.3
45.3,62.3
46.5,62.3
47.7,62.7
48.8,63.1
